iter	Passed	Remaining
177	13525	62459
178	13589	62327
179	13654	62205
180	13740	62174
181	13800	62024
182	13859	61876
183	13944	61840
184	14011	61725
185	14080	61622
186	14150	61520
187	14209	61373
188	14277	61263
189	14350	61177
190	14406	61020
191	14490	60982
192	14555	60862
193	14625	60763
194	14692	60652
195	14730	60427
196	14771	60209
197	14829	60067
198	14895	59956
199	14962	59849
200	15020	59708
201	15073	59547
202	15128	59397
203	15181	59238
204	15221	59029
205	15267	58844
206	15310	58653
207	15352	58458
208	15399	58282
209	15446	58106
210	15481	57888
211	15533	57735
212	15576	57551
213	15616	57358
214	15658	57172
215	15712	57029
216	15752	56840
217	15797	56669
218	15847	56515
219	15886	56325
220	15932	56159
221	15974	55984
222	16015	55804
223	16083	55718
224	16135	55579
225	16236	55608
226	16319	55571
227	16381	55467
228	16448	55379
229	16505	55255
230	16579	55194
231	16633	55064
232	16700	54976
233	16767	54887
234	16829	54784
235	16873	54625
236	16938	54530
237	16985	54382
238	17026	54215
239	17084	54102
240	17131	53952
241	17195	53858
242	17262	53776
243	17320	53666
244	17374	53541
245	17430	53423
246	17492	53326
247	17544	53200
248	17601	53087
249	17649	52947
250	17696	52807
251	17762	52722
252	17804	52568
253	17847	52418
254	17900	52297
255	17946	52156
256	17989	52009
257	18038	51879
258	18083	51737
259	18126	51591
260	18182	51482
261	18222	51328
262	18269	51196
263	18315	51062
264	18366	50941
265	18409	50800
266	18454	50662
267	18502	50537
268	18544	50394
269	18588	50258
270	18637	50136
271	18682	50003
272	18726	49868
273	18776	49750
274	18823	49626
275	18866	49490
276	18913	49367
277	18959	49240
278	19002	49106
279	19052	48992
280	19113	48907
281	19184	48845
282	19252	48776
283	19305	48670
284	19346	48536
285	19392	48413
286	19454	48330
287	19493	48191
288	19535	48061
289	19579	47935
290	19627	47820
291	19669	47690
292	19708	47556
293	19755	47440
294	19801	47322
295	19847	47205
296	19895	47093
297	19937	46967
298	19981	46846
299	20028	46733
300	20077	46624
301	20120	46504
302	20164	46385
303	20210	46271
304	20260	46167
305	20313	46071
306	20380	46006
307	20421	45882
308	20460	45754
309	20511	45654
310	20559	45547
311	20608	45445
312	20654	45333
313	20697	45219
314	20741	45104
315	20780	44980
316	20818	44855
317	20863	44744
318	20906	44632
319	20954	44528
320	20996	44413
321	21041	44305
322	21089	44203
323	21130	44086
324	21176	43981
325	21221	43874
326	21266	43768
327	21314	43668
328	21370	43584
329	21424	43498
330	21476	43406
331	21520	43300
332	21570	43206
333	21617	43104
334	21663	43003
335	21706	42895
336	21750	42790
337	21793	42684
338	21840	42586
339	21875	42464
340	21918	42359
341	21964	42260
342	22013	42165
343	22050	42050
344	22096	41950
345	22141	41852
346	22184	41748
347	22233	41654
348	22280	41559
349	22323	41457
350	22374	41369
351	22416	41266
352	22470	41184
353	22528	41110
354	22571	41009
355	22620	40920
356	22669	40831
357	22716	40737
358	22903	40894
359	22978	40851
360	23029	40764
361	23079	40675
362	23127	40583
363	23171	40487
364	23215	40388
365	23261	40294
366	23307	40200
367	23353	40106
368	23400	40015
369	23445	39921
370	23492	39828
371	23544	39747
372	23585	39645
373	23629	39551
374	23674	39456
375	23720	39365
376	23769	39280
377	23821	39198
378	23867	39106
379	23912	39015
380	23952	38915
381	23998	38824
382	24048	38741
383	24095	38653
384	24138	38559
385	24182	38467
386	24233	38384
387	24280	38298
388	24320	38200
389	24381	38135
390	24448	38079
391	24503	38005
392	24558	37931
393	24603	37842
394	24652	37759
395	24700	37674
396	24744	37584
397	24788	37493
398	24856	37440
399	24915	37373
400	24977	37310
401	25023	37224
402	25069	37138
403	25115	37051
404	25165	36971
405	25213	36888
406	25255	36796
407	25299	36708
408	25349	36629
409	25402	36555
410	25454	36479
411	25503	36398
412	25556	36323
413	25609	36249
414	25658	36169
415	25694	36071
416	25742	35989
417	25788	35905
418	25828	35814
419	25874	35730
420	25917	35644
421	25957	35552
422	26002	35469
423	26050	35389
424	26094	35303
425	26138	35219
426	26178	35129
427	26226	35050
428	26271	34967
429	26320	34889
430	26365	34807
431	26410	34725
432	26454	34640
433	26493	34550
434	26544	34476
435	26589	34395
436	26629	34307
437	26674	34226
438	26724	34151
439	26769	34070
440	26808	33982
441	26856	33905
442	26905	33829
443	26945	33742
444	26991	33663
445	27031	33577
446	27078	33499
447	27125	33421
448	27170	33342
449	27213	33260
450	27264	33188
451	27306	33106
452	27355	33031
453	27395	32946
454	27442	32870
455	27489	32794
456	27529	32710
457	27569	32625
458	27615	32549
459	27662	32473
460	27707	32395
461	27753	32319
462	27830	32278
463	27887	32214
464	27937	32143
465	27988	32072
466	28035	31997
467	28081	31921
468	28125	31843
469	28176	31773
470	28222	31697
471	28262	31615
472	28299	31530
473	28325	31432
474	28349	31333
475	28376	31237
476	28402	31141
477	28430	31047
478	28460	30955
479	28493	30868
480	28524	30778
481	28554	30687
482	28587	30599
483	28620	30513
484	28653	30426
485	28685	30338
486	28723	30257
487	28758	30173
488	28790	30085
489	28822	29998
490	28857	29915
491	28887	29827
492	28917	29738
493	28944	29647
494	28976	29562
495	29006	29474
496	29032	29383
497	29060	29293
498	29089	29206
499	29117	29117
500	29142	29026
501	29170	28937
502	29197	28849
503	29224	28760
504	29251	28672
505	29277	28583
506	29304	28495
507	29329	28405
508	29358	28319
509	29396	28243
510	29425	28158
511	29451	28070
512	29478	27984
513	29514	27906
514	29547	27826
515	29581	27746
516	29627	27679
517	29673	27611
518	29727	27550
519	29768	27478
520	29816	27412
521	29865	27348
522	29923	27291
523	29969	27224
524	30012	27154
525	30059	27088
526	30112	27026
527	30143	26946
528	30171	26863
529	30197	26778
530	30223	26694
531	30250	26611
532	30278	26529
533	30306	26447
534	30331	26362
535	30359	26281
536	30386	26199
537	30413	26116
538	30439	26034
539	30472	25957
540	30505	25881
541	30533	25801
542	30566	25725
543	30602	25651
544	30634	25575
545	30667	25499
546	30702	25426
547	30741	25356
548	30778	25284
549	30814	25211
550	30851	25140
551	30882	25064
552	30919	24992
553	30955	24921
554	30987	24845
555	31023	24773
556	31055	24699
557	31083	24621
558	31112	24545
559	31141	24468
560	31169	24391
561	31202	24317
562	31235	24244
563	31263	24168
564	31296	24095
565	31332	24025
566	31361	23949
567	31394	23877
568	31426	23804
569	31462	23734
570	31494	23662
571	31524	23587
572	31556	23515
573	31587	23442
574	31614	23367
575	31642	23292
576	31670	23218
577	31700	23144
578	31731	23072
579	31763	23001
580	31796	22930
581	31825	22857
582	31855	22785
583	31886	22713
584	31914	22640
585	31942	22566
586	31971	22494
587	31998	22420
588	32026	22347
589	32054	22274
590	32080	22200
591	32108	22128
592	32132	22054
593	32159	21980
594	32186	21908
595	32212	21835
596	32238	21762
597	32263	21688
598	32291	21617
599	32318	21545
600	32344	21473
601	32371	21401
602	32398	21330
603	32426	21259
604	32453	21188
605	32480	21117
606	32508	21047
607	32535	20976
608	32564	20907
609	32592	20838
610	32627	20772
611	32662	20707
612	32696	20641
613	32729	20576
614	32760	20508
615	32791	20441
616	32826	20376
617	32861	20312
618	32889	20244
619	32918	20175
620	32945	20106
621	32973	20038
622	32999	19969
623	33026	19900
624	33057	19834
625	33093	19771
626	33124	19705
627	33151	19637
628	33179	19569
629	33204	19501
630	33230	19432
631	33258	19365
632	33287	19299
633	33318	19234
634	33349	19169
635	33379	19103
636	33407	19037
637	33434	18970
638	33461	18903
639	33490	18838
640	33519	18772
641	33548	18707
642	33590	18649
643	33623	18587
644	33657	18524
645	33697	18465
646	33732	18404
647	33765	18341
648	33809	18285
649	33840	18221
650	33875	18160
651	33912	18100
652	33946	18038
653	33979	17976
654	34014	17915
655	34045	17853
656	34077	17790
657	34115	17731
658	34146	17669
659	34181	17608
660	34215	17547
661	34244	17484
662	34273	17421
663	34302	17358
664	34330	17294
665	34359	17231
666	34387	17168
667	34415	17104
668	34443	17041
669	34475	16980
670	34508	16919
671	34539	16858
672	34571	16797
673	34601	16736
674	34631	16674
675	34661	16612
676	34699	16555
677	34738	16498
678	34767	16436
679	34796	16374
680	34824	16312
681	34851	16250
682	34881	16189
683	34907	16127
684	34934	16064
685	34962	16003
686	34989	15941
687	35015	15878
688	35042	15817
689	35068	15755
690	35099	15695
691	35127	15634
692	35155	15574
693	35182	15512
694	35210	15452
695	35241	15392
696	35270	15332
697	35299	15273
698	35333	15215
699	35366	15157
700	35398	15098
701	35429	15039
702	35461	14981
703	35491	14922
704	35519	14862
705	35546	14802
706	35575	14743
707	35603	14683
708	35631	14624
709	35660	14565
710	35686	14505
711	35717	14447
712	35745	14388
713	35772	14328
714	35800	14270
715	35829	14211
716	35857	14152
717	35881	14092
718	35908	14033
719	35942	13977
720	35971	13919
721	36000	13861
722	36028	13803
723	36057	13745
724	36085	13687
725	36114	13630
726	36144	13572
727	36184	13519
728	36225	13466
729	36265	13413
730	36300	13358
731	36340	13305
732	36374	13249
733	36403	13192
734	36434	13136
735	36463	13079
736	36495	13023
737	36522	12966
738	36548	12908
739	36579	12852
740	36608	12795
741	36640	12740
742	36669	12683
743	36703	12629
744	36730	12572
745	36760	12516
746	36793	12461
747	36822	12405
748	36855	12350
749	36884	12294
750	36911	12238
751	36943	12183
752	36973	12128
753	37005	12073
754	37041	12020
755	37081	11967
756	37119	11915
757	37159	11863
758	37195	11810
759	37232	11757
760	37266	11704
761	37301	11650
762	37334	11596
763	37367	11542
764	37398	11488
765	37432	11435
766	37466	11381
767	37499	11328
768	37530	11273
769	37563	11220
770	37596	11166
771	37624	11111
772	37650	11056
773	37680	11002
774	37709	10947
775	37734	10892
776	37766	10839
777	37795	10784
778	37828	10731
779	37864	10679
780	37895	10626
781	37924	10572
782	37951	10517
783	37985	10465
784	38018	10412
785	38049	10359
786	38080	10306
787	38111	10253
788	38141	10200
789	38177	10148
790	38208	10095
791	38237	10042
792	38264	9988
793	38296	9935
794	38326	9882
795	38355	9829
796	38381	9775
797	38410	9722
798	38436	9669
799	38462	9615
800	38488	9562
801	38514	9508
802	38541	9455
803	38567	9402
804	38595	9349
805	38623	9296
806	38651	9243
807	38681	9191
808	38709	9139
809	38744	9088
810	38775	9036
811	38807	8985
812	38836	8932
813	38864	8880
814	38905	8831
815	38940	8780
816	38976	8730
817	39013	8680
818	39049	8629
819	39083	8579
820	39117	8528
821	39148	8477
822	39177	8425
823	39205	8373
824	39233	8322
825	39263	8270
826	39290	8219
827	39315	8166
828	39343	8115
829	39370	8063
830	39397	8012
831	39422	7960
832	39448	7908
833	39476	7857
834	39503	7806
835	39529	7754
836	39557	7703
837	39585	7652
838	39613	7601
839	39643	7551
840	39670	7500
841	39703	7450
842	39740	7401
843	39775	7351
844	39808	7302
845	39840	7252
846	39879	7203
847	39919	7155
848	39952	7105
849	39982	7055
850	40012	7005
851	40041	6955
852	40070	6905
853	40098	6855
854	40126	6805
855	40154	6754
856	40183	6705
857	40211	6655
858	40240	6605
859	40268	6555
860	40297	6505
861	40329	6456
862	40360	6407
863	40389	6357
864	40421	6308
865	40451	6259
866	40481	6209
867	40513	6161
868	40548	6112
869	40582	6064
870	40618	6015
871	40654	5967
872	40688	5919
873	40721	5870
874	40750	5821
875	40779	5772
876	40809	5723
877	40847	5675
878	40884	5627
879	40922	5580
880	40955	5531
881	40988	5483
882	41023	5435
883	41058	5387
884	41091	5339
885	41127	5291
886	41160	5243
887	41195	5195
888	41232	5148
889	41267	5100
890	41303	5052
891	41336	5004
892	41371	4957
893	41402	4908
894	41435	4861
895	41467	4813
896	41501	4765
897	41533	4717
898	41566	4669
899	41598	4622
900	41633	4574
901	41665	4526
902	41698	4479
903	41732	4431
904	41767	4384
905	41799	4336
906	41829	4288
907	41859	4241
908	41887	4193
909	41917	4145
910	41947	4098
911	41975	4050
912	42005	4002
913	42032	3954
914	42062	3907
915	42093	3860
916	42125	3812
917	42158	3765
918	42189	3718
919	42219	3671
920	42252	3624
921	42283	3577
922	42313	3529
923	42339	3482
924	42367	3435
925	42396	3388
926	42422	3340
927	42450	3293
928	42477	3246
929	42509	3199
930	42535	3152
931	42565	3105
932	42591	3058
933	42618	3011
934	42646	2964
935	42671	2917
936	42699	2870
937	42727	2824
938	42753	2777
939	42780	2730
940	42808	2684
941	42835	2637
942	42863	2590
943	42891	2544
944	42918	2497
945	42949	2451
946	42983	2405
947	43012	2359
948	43046	2313
949	43084	2267
950	43123	2221
951	43162	2176
952	43200	2130
953	43236	2084
954	43273	2039
955	43307	1993
956	43342	1947
957	43380	1901
958	43427	1856
959	43465	1811
960	43503	1765
961	43547	1720
962	43583	1674
963	43618	1628
964	43650	1583
965	43678	1537
966	43705	1491
967	43734	1445
968	43762	1400
969	43788	1354
970	43824	1308
971	43852	1263
972	43884	1217
973	43912	1172
974	43943	1126
975	43976	1081
976	44007	1036
977	44040	990
978	44071	945
979	44105	900
980	44138	854
981	44168	809
982	44196	764
983	44224	719
984	44251	673
985	44279	628
986	44307	583
987	44333	538
988	44361	493
989	44387	448
990	44412	403
991	44439	358
992	44465	313
993	44490	268
994	44517	223
995	44545	178
996	44571	134
997	44598	89
998	44625	44
999	44657	0
92	75487	532
993	75538	455
994	75581	379
995	75627	303
996	75675	227
997	75718	151
998	75761	75
999	75803	0
262
997	87285	174
998	87331	87
999	87399	0
