iter	MultiClass
417	0.02148145566
418	0.02142566378
419	0.02137719507
420	0.02133471727
421	0.02129559069
422	0.02120821912
423	0.02113908375
424	0.02107899868
425	0.02103813954
426	0.02096887625
427	0.02091334661
428	0.02080485335
429	0.02075273647
430	0.02072136478
431	0.02067478183
432	0.02061089951
433	0.02056047037
434	0.02051132245
435	0.02046782453
436	0.02044649722
437	0.02040598624
438	0.02031571468
439	0.02024349528
440	0.02020520783
441	0.02015296606
442	0.02010972668
443	0.02005443253
444	0.01999434271
445	0.01996453429
446	0.01989864371
447	0.01985455059
448	0.01981929302
449	0.01978428799
450	0.0197189264
451	0.0196565415
452	0.01959671764
453	0.0195282234
454	0.01948168753
455	0.01946815227
456	0.01939897451
457	0.01933900172
458	0.01930918135
459	0.01926202372
460	0.01924588693
461	0.01918656456
462	0.01913445665
463	0.01910575433
464	0.01908302332
465	0.01906030115
466	0.01896122514
467	0.01891850431
468	0.01888786416
469	0.01880923218
470	0.01871673801
471	0.01867048367
472	0.01862760329
473	0.01855483001
474	0.01852769283
475	0.01848907335
476	0.01845629962
477	0.01841043771
478	0.01837925965
479	0.01826668904
480	0.01822886675
481	0.01820131677
482	0.01814860881
483	0.01809996045
484	0.01803682707
485	0.01800104297
486	0.01795684184
487	0.017909875
488	0.01789446312
489	0.01787198872
490	0.01781890822
491	0.01777826141
492	0.01774049887
493	0.01768578526
494	0.01765646916
495	0.01762802304
496	0.01759142101
497	0.01754605466
498	0.01751285564
499	0.01748156739
500	0.01744358182
501	0.01741086133
502	0.01738670755
503	0.01734728116
504	0.01730687757
505	0.01727395273
506	0.01722411019
507	0.01718041608
508	0.01713197923
509	0.01711465158
510	0.01709327136
511	0.01703832918
512	0.01699593592
513	0.01697225846
514	0.01692166944
515	0.01687950251
516	0.01683161785
517	0.01679569082
518	0.01675966285
519	0.01671373245
520	0.01666961183
521	0.0166347537
522	0.01658135723
523	0.01650566601
524	0.01649300687
525	0.01644364404
526	0.01639999954
527	0.01636330715
528	0.01631364277
529	0.01629531653
530	0.01625989863
531	0.01617267518
532	0.01611737391
533	0.01608584368
534	0.0160414049
535	0.01599121893
536	0.01595699805
537	0.01593423659
538	0.01588743851
539	0.01586778859
540	0.01578950241
541	0.01572177616
542	0.01564350207
543	0.01562111766
544	0.01559506053
545	0.01556198579
546	0.01553746052
547	0.01551386223
548	0.01544662886
549	0.01538956421
550	0.01534831207
551	0.01527962625
552	0.01523937299
553	0.0152249056
554	0.01520032009
555	0.01516513697
556	0.0151245602
557	0.01510419885
558	0.01508311034
559	0.01506349087
560	0.01503210309
561	0.01501547642
562	0.01498827516
563	0.0149666237
564	0.01492710536
565	0.01490519989
566	0.01483017436
567	0.01480602283
568	0.0147843384
569	0.01475898363
570	0.01471178805
571	0.01469640839
572	0.01467568505
573	0.01464336265
574	0.01463098772
575	0.0146031733
576	0.01458345756
577	0.01449277415
578	0.01447608204
579	0.01445036863
580	0.01444529266
581	0.01441887936
582	0.01436189567
583	0.01432391047
584	0.01429604855
585	0.01425973818
586	0.01423327719
587	0.01422141819
588	0.01419371156
589	0.01417382447
590	0.01413942714
591	0.0141278723
592	0.01411061912
593	0.0140899476
594	0.01405585973
595	0.01402803479
596	0.01400858918
597	0.01399331546
598	0.01396891321
599	0.01392391089
600	0.01390620105
601	0.01386909042
602	0.01384407711
603	0.013823886
604	0.0138044117
605	0.01378978299
606	0.013765309
607	0.01375314989
608	0.0137205442
609	0.01370055314
610	0.01366440578
611	0.01365128317
612	0.01361787702
613	0.01359973321
614	0.01356744749
615	0.01354312702
616	0.01348675611
617	0.01347820677
618	0.01346813662
619	0.01343218926
620	0.01342116968
621	0.01340506443
622	0.01338106648
623	0.01334787959
624	0.01329858649
625	0.01327572826
626	0.01325779816
627	0.0132360539
628	0.01321995171
629	0.01316934756
630	0.01315250316
631	0.01314216039
632	0.01310976254
633	0.01308886166
634	0.01306644931
635	0.01304010146
636	0.0130154059
637	0.01297337386
638	0.01293981934
639	0.01290676711
640	0.0128737389
641	0.01284837222
642	0.01283187775
643	0.01281126376
644	0.01279104242
645	0.01277942004
646	0.01276397155
647	0.01273659289
648	0.01270208858
649	0.01266699059
650	0.01264242003
651	0.01262013596
652	0.01258975197
653	0.01255987684
654	0.01254568333
655	0.01251977477
656	0.0124681183
657	0.0124341963
658	0.01241488509
659	0.01240355715
660	0.01239560479
661	0.01237183105
662	0.01234421705
663	0.01230734141
664	0.01227572471
665	0.01223677898
666	0.01219709246
667	0.01218113654
668	0.01216429849
669	0.01213741912
670	0.012094454
671	0.01207079064
672	0.01205093609
673	0.01203118462
674	0.01201436365
675	0.01199786899
676	0.01196207647
677	0.01194222239
678	0.01192644166
679	0.01189741024
680	0.01189592853
681	0.01187947908
682	0.01184947714
683	0.01181878701
684	0.01179579244
685	0.01178324541
686	0.01175255245
687	0.01173111865
688	0.01171841414
689	0.01169143457
690	0.01168005677
691	0.01165455053
692	0.01164105884
693	0.01162007868
694	0.01161336884
695	0.01159842285
696	0.01158384887
697	0.01157041077
698	0.01156361665
699	0.01155148454
700	0.01154157283
701	0.0115316293
702	0.01150427665
703	0.01149273237
704	0.01147878585
705	0.01147067982
706	0.01144417067
707	0.01142671685
708	0.01140066215
709	0.01138535612
710	0.01136661346
711	0.01135244052
712	0.01133843014
713	0.0113326162
714	0.01131861782
715	0.01130124233
716	0.01129180155
717	0.01126230205
718	0.0112184931
719	0.01118647613
720	0.01116017142
721	0.0111457983
722	0.01112656145
723	0.01112292959
724	0.01111566088
725	0.01109850301
726	0.0110576036
727	0.0110464964
728	0.01102886594
729	0.01101507712
730	0.0110000279
731	0.01098932324
732	0.01097897637
733	0.01095719719
734	0.01094136407
735	0.01092838961
736	0.01091679342
737	0.01091080529
738	0.01090356782
739	0.01088677256
740	0.01087060873
741	0.010861738
742	0.01082694796
743	0.01081181899
744	0.0108030336
745	0.01078597962
746	0.01077009216
747	0.0107583262
748	0.01074143678
749	0.01071672205
750	0.01070827929
751	0.01069356466
752	0.01067883015
753	0.01066474735
754	0.01065187735
755	0.01063261025
756	0.01061167159
757	0.01059611661
758	0.01058885691
759	0.010555404
760	0.01054433754
761	0.01052833136
762	0.01051972903
763	0.01050007628
764	0.01048241904
765	0.01047334836
766	0.01045896934
767	0.01045032883
768	0.01044414786
769	0.01043178215
770	0.01042003469
